NAME,POP,DATE_CODE,DATE_DESC,state
Washington,6742830,3,7/1/2010 Population Estimate,53
Washington,6826627,4,7/1/2011 Population Estimate,53
Washington,6897058,5,7/1/2012 Population Estimate,53
Washington,6963985,6,7/1/2013 Population Estimate,53
Washington,7054655,7,7/1/2014 Population Estimate,53
Washington,7163657,8,7/1/2015 Population Estimate,53
Washington,7294771,9,7/1/2016 Population Estimate,53
Washington,7423362,10,7/1/2017 Population Estimate,53
Washington,7523869,11,7/1/2018 Population Estimate,53
Washington,7614893,12,7/1/2019 Population Estimate,53
